gene_name,gene_id,num_codewords,num_probesets,protein_name,location,cell_type,cellchat_pathway
Abracl,ENSMUSG00000078453,2,2,Costars family protein ABRACL (ABRA C-terminal-like protein),,type B pancreatic cell;skeletal muscle fiber,
Abraxas1,ENSMUSG00000035234,2,2,BRCA1-A complex subunit Abraxas 1 (Coiled-coil domain-containing protein 98) (Protein FAM175A),Nucleus,,
Abraxas2,ENSMUSG00000030965,2,2,BRISC complex subunit Abraxas 2 (Abraxas brother protein 1) (Protein FAM175B),Cytoplasm,,
Acaa2,ENSMUSG00000036880,3,2,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,granulosa cell,
Acaca,ENSMUSG00000020532,2,2,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,,
Acacb,ENSMUSG00000042010,2,2,Acetyl-CoA carboxylase 2,Mitochondrion,kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney connecting tubule epithelial cell;kidney loop of Henle epithelial cell,
Acan,ENSMUSG00000030607,2,2,Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP),Secreted,stromal cell;chondrocyte,
Ace,ENSMUSG00000020681,2,2,Angiotensin-converting enzyme (ACE),Cell membrane,blood vessel endothelial cell;vein endothelial cell;endothelial cell of artery;capillary endothelial cell;endothelial cell of vascular tree;muscle cell;smooth muscle cell;smooth muscle cell of the pulmonary artery;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;non-classical monocyte,
Ace2,ENSMUSG00000015405,2,2,Angiotensin-converting enzyme 2,Secreted,pancreatic A cell;pancreatic PP cell;PP cell,
Acer1,ENSMUSG00000045019,2,2,Alkaline ceramidase 1 (AlkCDase 1) (Alkaline CDase 1) (maCER1),Endoplasmic reticulum membrane,,
Ache,ENSMUSG00000023328,2,2,Acetylcholinesterase (AChE),Synapse;Secreted;Cell membrane,,
Ackr1,ENSMUSG00000037872,2,2,Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (CD antigen CD234),Early endosome,,CCL;CXCL
Ackr2,ENSMUSG00000044534,2,2,Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine-binding protein 2) (Chemokine-binding protein D6),Early endosome,,CCL
Ackr3,ENSMUSG00000044337,2,2,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,vein endothelial cell;prostate gland microvascular endothelial cell;endothelial cell of lymphatic vessel;fibroblast of connective tissue of prostate,CXCL;MIF
Ackr4,ENSMUSG00000079355,2,2,Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR),Early endosome,basal cell of prostate epithelium;endothelial cell of lymphatic vessel,CCL
Acly,ENSMUSG00000020917,3,2,ATP-citrate synthase,Cytoplasm,pancreatic endocrine cell;type B pancreatic cell;glandular epithelial cell;enteroendocrine cell;endocrine cell,
Acod1,ENSMUSG00000022126,2,2,Cis-aconitate decarboxylase (CAD),Mitochondrion,,
Acot6,ENSMUSG00000043487,2,2,Acyl-coenzyme A thioesterase 6 (Acyl-CoA thioesterase 6),Peroxisome,,
Acox1,ENSMUSG00000020777,4,2,Peroxisomal acyl-coenzyme A oxidase 1 (AOX),Peroxisome,enterocyte;enterocyte of epithelium of large intestine;epithelial cell of proximal tubule;hepatocyte;epithelial cell of large intestine,
Acp2,ENSMUSG00000002103,2,2,Lysosomal acid phosphatase (LAP),Lysosome membrane,,
Acp5,ENSMUSG00000001348,2,2,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,Kupffer cell;erythrocyte,
Acr,ENSMUSG00000022622,2,2,Acrosin,,,
Acsl1,ENSMUSG00000018796,2,2,Long-chain-fatty-acid--CoA ligase 1,Mitochondrion outer membrane,seminal vesicle glandular cell;hepatocyte,
Acsl4,ENSMUSG00000031278,2,2,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,,
Acsl6,ENSMUSG00000020333,3,2,Long-chain-fatty-acid--CoA ligase 6,Mitochondrion outer membrane,,
Acss1,ENSMUSG00000027452,2,2,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",Mitochondrion matrix,renal intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney connecting tubule epithelial cell,
Acss2,ENSMUSG00000027605,2,2,"Acetyl-coenzyme A synthetase, cytoplasmic",Cytoplasm,,
Actc1,ENSMUSG00000068614,2,2,"Actin, alpha cardiac muscle 1",Cytoplasm,muscle cell;cardiac muscle cell;smooth muscle cell;vascular associated smooth muscle cell;aortic smooth muscle cell,
Actg2,ENSMUSG00000059430,2,2,"Actin, gamma-enteric smooth muscle",Cytoplasm,muscle cell;smooth muscle cell;vascular associated smooth muscle cell;aortic smooth muscle cell;smooth muscle cell of prostate,
Actl6a,ENSMUSG00000027671,2,2,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (BRG1-associated factor 53A) (BAF53A),Nucleus,,
Actl6b,ENSMUSG00000029712,2,2,Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpN-alpha) (ArpNa) (BRG1-associated factor 53B) (BAF53B),Nucleus,,
Actn1,ENSMUSG00000015143,2,2,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Cytoplasm,,
Actn2,ENSMUSG00000052374,2,2,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),Cytoplasm,cardiac muscle cell;innate lymphoid cell,
Actr1a,ENSMUSG00000025228,2,2,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),Cytoplasm,,
Actr1b,ENSMUSG00000037351,2,2,Beta-centractin (Actin-related protein 1B) (ARP1B),Cytoplasm,,
Actr2,ENSMUSG00000020152,3,2,Actin-related protein 2 (Actin-like protein 2),Cytoplasm,,
Acvr1,ENSMUSG00000026836,2,2,Activin receptor type-1,Membrane,,TGFb;BMP;AMH
Acvr1b,ENSMUSG00000000532,2,2,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN
Acvr1c,ENSMUSG00000026834,2,2,Activin receptor type-1C,Membrane,,TGFb;NODAL;ACTIVIN
Acvr2a,ENSMUSG00000052155,2,2,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN
Acvr2b,ENSMUSG00000061393,2,2,Activin receptor type-2B,Cell membrane,cell of skeletal muscle,BMP;GDF;MSTN;NODAL;ACTIVIN
Acvrl1,ENSMUSG00000000530,2,2,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of artery;capillary endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney cortex artery cell;smooth muscle cell;smooth muscle cell of the pulmonary artery;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,BMP10
Ada,ENSMUSG00000017697,2,2,Adenosine deaminase,Cell membrane,,
Adad1,ENSMUSG00000027719,2,2,Adenosine deaminase domain-containing protein 1 (Testis nuclear RNA-binding protein),Nucleus,,
Adad2,ENSMUSG00000024266,2,2,Adenosine deaminase domain-containing protein 2,Nucleus,,
Adam10,ENSMUSG00000054693,2,2,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,,
Adam17,ENSMUSG00000052593,2,2,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Secreted,,
Adam18,ENSMUSG00000031552,2,2,"Disintegrin and metalloproteinase domain-containing protein 18 (ADAM 18) (Disintegrin and metalloproteinase domain-containing protein 27) (ADAM 27) (Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein III) (tMDC III)",Membrane,,
Adam28,ENSMUSG00000014725,2,2,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Membrane,basal cell of prostate epithelium,
Adamdec1,ENSMUSG00000022057,2,2,ADAM DEC1,Secreted,,
Adamts1,ENSMUSG00000022893,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,neuroendocrine cell;smooth muscle cell;smooth muscle cell of trachea;vascular leptomeningeal cell;hepatic stellate cell;pulmonary interstitial fibroblast;mesothelial fibroblast;mesangial cell,
Adamts13,ENSMUSG00000014852,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13),Secreted,,
Adamts14,ENSMUSG00000059901,2,2,"A disintegrin-like and metallopeptidase (Reprolysin type) with thrombospondin type 1 motif, 14",Secreted,,
Adamts18,ENSMUSG00000053399,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18),Secreted,,
Adamts20,ENSMUSG00000022449,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20),Secreted,,
Adamts3,ENSMUSG00000043635,2,2,"A disintegrin-like and metallopeptidase (Reprolysin type) with thrombospondin type 1 motif, 3",Secreted,medium spiny neuron,
Adamts5,ENSMUSG00000022894,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5),Secreted,mesenchymal stem cell;mesenchymal stem cell of adipose tissue;connective tissue cell;pancreatic stellate cell;fibroblast of cardiac tissue;mesangial cell,
Adamts6,ENSMUSG00000046169,2,2,"A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6",Secreted,,
Adar,ENSMUSG00000027951,2,2,Double-stranded RNA-specific adenosine deaminase (DRADA),Nucleus,,
Adarb1,ENSMUSG00000020262,2,2,Double-stranded RNA-specific editase 1,Nucleus,,
Adcy1,ENSMUSG00000020431,3,2,Adenylate cyclase type 1,Membrane,lamp5 GABAergic cortical interneuron;corticothalamic-projecting glutamatergic cortical neuron;L6 corticothalamic-projecting glutamatergic cortical neuron;hippocampal neuron,
Adcy2,ENSMUSG00000021536,2,2,Adenylate cyclase type 2,Membrane,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,
Adcy3,ENSMUSG00000020654,2,2,Adenylate cyclase type 3,Cell membrane,,
Adcy8,ENSMUSG00000022376,2,2,Adenylate cyclase type 8,Cell membrane,cerebellar Golgi cell;Cajal-Retzius cell,
Adcyap1,ENSMUSG00000024256,2,2,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,,
Adcyap1r1,ENSMUSG00000029778,2,2,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,glioblast;hypendymal cell,PACAP
Add2,ENSMUSG00000030000,2,2,Beta-adducin (Add97) (Erythrocyte adducin subunit beta),Cytoplasm,,
Adgra2,ENSMUSG00000031486,2,2,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),Cell membrane,,ADGRA
Adgra3,ENSMUSG00000029090,2,2,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),Membrane,,
Adgrb1,ENSMUSG00000034730,2,2,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1),Cell membrane,,ADGRB
Adgre1,ENSMUSG00000004730,2,2,Adhesion G protein-coupled receptor E1 (Cell surface glycoprotein F4/80) (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),Cell membrane,phagocyte;macrophage;professional antigen presenting cell;myeloid leukocyte;myeloid cell,
Adgre5,ENSMUSG00000002885,2,2,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,blood vessel endothelial cell;kidney efferent arteriole endothelial cell;endothelial cell of artery;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell of vascular tree,ADGRE
Adgrf1,ENSMUSG00000041293,2,2,Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110),Cell membrane,,
Adgrf5,ENSMUSG00000056492,2,2,Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116),Cell membrane,epithelial cell;renal intercalated cell;renal alpha-intercalated cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta descending limb cell;endothelial stalk cell;kidney efferent arteriole endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;capillary endothelial cell;prostate gland microvascular endothelial cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree,
Adgrg1,ENSMUSG00000031785,2,2,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Serpentine receptor cyt28),Cell membrane,glioblast;Sertoli cell,ADGRG
Adgrg2,ENSMUSG00000031298,2,2,Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Mouse epididymis-specific protein 6) (Me6),Apical cell membrane,,
Adgrg5,ENSMUSG00000061577,2,2,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),Cell membrane,,
Adgrg6,ENSMUSG00000039116,2,2,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126),Cell membrane,vein endothelial cell;sst chodl GABAergic cortical interneuron,ADGRG
Adgrg7,ENSMUSG00000022755,2,2,Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128),Membrane,,
Adgrl1,ENSMUSG00000013033,2,2,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),Cell membrane,,ADGRL
Adgrl2,ENSMUSG00000028184,2,2,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2),Membrane,,ADGRL
Adgrl3,ENSMUSG00000037605,2,2,Adhesion G protein-coupled receptor L3 (Latrophilin-3) (Lectomedin-3),Cell membrane,Bergmann glial cell,ADGRL
Adgrv1,ENSMUSG00000069170,2,2,Adhesion G-protein coupled receptor V1 (ADGRV1),Cell membrane,ependymal cell;hypendymal cell;neural progenitor cell,
Adh5,ENSMUSG00000028138,2,2,Alcohol dehydrogenase class-3,Cytoplasm,Sertoli cell;mesothelial cell;Leydig cell,
Adipoq,ENSMUSG00000022878,2,2,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)",Secreted,,
Adipor1,ENSMUSG00000026457,3,2,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Cell membrane,enucleate erythrocyte;immature B cell,ADIPONECTIN
Adm,ENSMUSG00000030790,2,2,Pro-adrenomedullin,Secreted,,ADM
Adora1,ENSMUSG00000042429,3,2,Adenosine receptor A1,Cell membrane,L5/6 near-projecting glutamatergic neuron of the primary motor cortex;corticothalamic-projecting glutamatergic cortical neuron;L6 corticothalamic-projecting glutamatergic cortical neuron;L6b glutamatergic cortical neuron,CD39;Adenosine
Adora2a,ENSMUSG00000020178,2,2,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine
Adora2b,ENSMUSG00000018500,2,2,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine
Adprhl1,ENSMUSG00000031448,2,2,Inactive ADP-ribosyltransferase ARH2 (ADP-ribosylhydrolase-like protein 1) ([Protein ADP-ribosylarginine] hydrolase-like protein 1),Cytoplasm,,
Adra1a,ENSMUSG00000045875,3,3,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor),Nucleus membrane,interneuron;cortical interneuron;lamp5 GABAergic cortical interneuron;sst chodl GABAergic cortical interneuron;inhibitory interneuron;GABAergic neuron,Adrenaline;Noradrenaline
Adra1b,ENSMUSG00000050541,3,3,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,vip GABAergic cortical interneuron,Adrenaline;Noradrenaline
Adra2a,ENSMUSG00000033717,2,2,Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,,Adrenaline;Noradrenaline
Adrb1,ENSMUSG00000035283,2,2,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Cell membrane,tracheobronchial smooth muscle cell;bronchial smooth muscle cell,Adrenaline;Noradrenaline
Adrb2,ENSMUSG00000045730,2,2,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,basal cell;stem cell of epidermis;basal epithelial cell of tracheobronchial tree;epidermal cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,Adrenaline;Noradrenaline
Adrb3,ENSMUSG00000031489,2,2,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline
Adtrp,ENSMUSG00000058022,2,2,Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP),Cell membrane,,
Aebp2,ENSMUSG00000030232,2,2,Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2),Nucleus,,
Afap1l2,ENSMUSG00000025083,2,2,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,,
Afdn,ENSMUSG00000068036,2,2,Afadin (Afadin adherens junction formation factor) (Protein Af-6),Cell junction,,
Afg3l2,ENSMUSG00000024527,2,2,AFG3-like protein 2,Mitochondrion inner membrane,,
Afp,ENSMUSG00000054932,2,2,Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin),Secreted,,
Ager,ENSMUSG00000015452,3,3,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;bronchial epithelial cell;enucleate erythrocyte;lung secretory cell,
Agl,ENSMUSG00000033400,2,2,Glycogen debranching enzyme,Cytoplasm,,
Ago1,ENSMUSG00000041530,2,2,Protein argonaute-1 (Argonaute1) (mAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Piwi/argonaute family protein meIF2C1),Cytoplasm,,
Ago2,ENSMUSG00000036698,2,2,Protein argonaute-2 (Argonaute2) (mAgo2),Cytoplasm,,
Ago3,ENSMUSG00000028842,2,2,Protein argonaute-3 (Argonaute3) (mAgo3),Cytoplasm,,
Agpat3,ENSMUSG00000001211,3,2,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Endoplasmic reticulum membrane,,
Agpat4,ENSMUSG00000023827,2,2,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,Endoplasmic reticulum membrane,,
Agps,ENSMUSG00000042410,2,2,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase)",Peroxisome membrane,ciliated epithelial cell;columnar/cuboidal epithelial cell,
Agr3,ENSMUSG00000036231,2,2,Anterior gradient protein 3,Endoplasmic reticulum,,
Agrn,ENSMUSG00000041936,2,2,Agrin,Synapse,glioblast;vascular leptomeningeal cell;mesothelial fibroblast;neural progenitor cell,
Agrp,ENSMUSG00000005705,2,2,Agouti-related protein,Secreted,kidney glomerular epithelial cell;podocyte,
Agt,ENSMUSG00000031980,2,2,Angiotensinogen (Serpin A8),Secreted,hepatocyte;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;aortic smooth muscle cell,AGT
Agtr1a,ENSMUSG00000049115,2,2,Type-1 angiotensin II receptor A (Angiotensin II type-1 receptor A) (AT1 receptor A),Cell membrane,luminal epithelial cell of mammary gland;mammary gland epithelial cell;hepatic stellate cell;mesangial cell,AGT
Agtr1b,ENSMUSG00000054988,2,2,Type-1 angiotensin II receptor B (AT3) (Angiotensin II type-1 receptor B) (AT1 receptor B),Cell membrane,,AGT
Agtr2,ENSMUSG00000068122,2,2,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor),Cell membrane,stromal cell;stromal cell of ovary;interstitial cell of ovary,AGT
Agtrap,ENSMUSG00000029007,2,2,Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein),Endoplasmic reticulum membrane,,
Agxt2,ENSMUSG00000089678,2,2,"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2)",Mitochondrion,,
Ahi1,ENSMUSG00000019986,2,2,Jouberin (Abelson helper integration site 1 protein) (AHI-1),Cytoplasm,sst chodl GABAergic cortical interneuron,
Ahr,ENSMUSG00000019256,2,2,Aryl hydrocarbon receptor (Ah receptor) (AhR),Cytoplasm,basal epithelial cell of tracheobronchial tree,
Aicda,ENSMUSG00000040627,2,2,Single-stranded DNA cytosine deaminase,Nucleus,,
Aida,ENSMUSG00000042901,2,2,"Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)",,,
Aif1,ENSMUSG00000024397,2,2,Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1),Cytoplasm,phagocyte;macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;lung macrophage;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;myeloid cell,
Aif1l,ENSMUSG00000001864,2,2,Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2),Cytoplasm,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney loop of Henle thick ascending limb epithelial cell;kidney collecting duct cell,
Aifm1,ENSMUSG00000036932,2,2,"Apoptosis-inducing factor 1, mitochondrial",Mitochondrion intermembrane space,,
